CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,HOUSING_PSA,JURISDICTION_CODE,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PATROL_BORO,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,STATION_NAME,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,X_COORD_CD,Y_COORD_CD,Lat,Long,Lat_Lon,datetime,Zipcode
686243132,47,BRONX,01/19/2019,06:00:00,01/19/2019,06:05:00,COMPLETED,,,0.0,N.Y. POLICE DEPT,105,FELONY,FRONT OF,ROBBERY,,PATROL BORO BRONX,386.0,"ROBBERY,PERSONAL ELECTRONIC DEVICE",STREET,01/19/2019,,UNKNOWN,UNKNOWN,U,,18-24,BLACK,F,1023120.0,262337.0,40.88665113600007,-73.85942499899994,"(40.88665113600007, -73.85942499899994)",2019-01-19 00:00:00,10466.0
775860274,32,MANHATTAN,11/01/2018,00:01:00,,,COMPLETED,,,0.0,N.Y. POLICE DEPT,104,FELONY,,RAPE,,PATROL BORO MAN NORTH,153.0,RAPE 3,STREET,01/19/2019,,18-24,WHITE HISPANIC,M,,<18,WHITE HISPANIC,F,999358.0,236472.0,40.81573205300003,-73.94542041099999,"(40.81573205300003, -73.94542041099999)",2018-11-01 00:00:00,10030.0
714483599,44,BRONX,01/15/2019,18:55:00,,,COMPLETED,,,0.0,N.Y. POLICE DEPT,118,FELONY,,DANGEROUS WEAPONS,,PATROL BORO BRONX,793.0,WEAPONS POSSESSION 3,STREET,01/15/2019,,25-44,BLACK,M,,UNKNOWN,UNKNOWN,E,1006659.0,245559.0,40.84065776400007,-73.91901357099994,"(40.84065776400007, -73.91901357099994)",2019-01-15 00:00:00,10452.0
150656153,23,MANHATTAN,01/15/2019,16:00:00,,,ATTEMPTED,,,0.0,N.Y. POLICE DEPT,106,FELONY,,FELONY ASSAULT,,PATROL BORO MAN NORTH,109.0,"ASSAULT 2,1,UNCLASSIFIED",STREET,01/15/2019,,UNKNOWN,UNKNOWN,U,,UNKNOWN,UNKNOWN,E,999321.0,229329.0,40.796126551000036,-73.94557011499995,"(40.796126551000036, -73.94557011499995)",2019-01-15 00:00:00,10029.0
690936001,47,BRONX,01/14/2019,22:20:00,,,COMPLETED,,,0.0,N.Y. POLICE DEPT,113,FELONY,,FORGERY,,PATROL BORO BRONX,725.0,"FORGERY,M.V. REGISTRATION",STREET,01/14/2019,,25-44,BLACK,F,,UNKNOWN,UNKNOWN,E,1023456.0,259785.0,40.87964521400005,-73.85822476799996,"(40.87964521400005, -73.85822476799996)",2019-01-14 00:00:00,10469.0
188075481,78,BROOKLYN,01/14/2019,13:30:00,01/14/2019,13:40:00,COMPLETED,,,0.0,N.Y. POLICE DEPT,113,FELONY,INSIDE,FORGERY,,PATROL BORO BKLYN SOUTH,723.0,"FORGERY,DRIVERS LICENSE",BANK,01/14/2019,,25-44,BLACK,M,,UNKNOWN,UNKNOWN,D,987564.0,182309.0,40.66708041300007,-73.98805555799999,"(40.66708041300007, -73.98805555799999)",2019-01-14 00:00:00,11215.0
394175524,113,,01/13/2019,22:11:00,,,COMPLETED,,,,N.Y. POLICE DEPT,101,FELONY,OUTSIDE,MURDER & NON-NEGL. MANSLAUGHTER,,,,,,01/13/2019,,,,,,25-44,BLACK,M,1051144.0,193463.0,40.697443411000044,-73.75876034299995,"(40.697443411000044, -73.75876034299995)",2019-01-13 00:00:00,11412.0
526881311,73,BROOKLYN,01/13/2019,17:05:00,01/13/2019,17:10:00,COMPLETED,,,0.0,N.Y. POLICE DEPT,113,FELONY,,FORGERY,,PATROL BORO BKLYN NORTH,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELO",STREET,01/13/2019,,25-44,BLACK,M,,UNKNOWN,UNKNOWN,E,1008992.0,186404.0,40.67828631700007,-73.91079962899995,"(40.67828631700007, -73.91079962899995)",2019-01-13 00:00:00,11233.0
541443832,94,BROOKLYN,01/11/2019,02:30:00,,,COMPLETED,,,0.0,N.Y. POLICE DEPT,105,FELONY,FRONT OF,ROBBERY,,PATROL BORO BKLYN NORTH,397.0,"ROBBERY,OPEN AREA UNCLASSIFIED",STREET,01/13/2019,,UNKNOWN,BLACK,M,,18-24,WHITE,M,999489.0,201023.0,40.718433522000055,-73.94502751,"(40.718433522000055, -73.94502751)",2019-01-11 00:00:00,11211.0
236257580,71,BROOKLYN,01/12/2019,18:50:00,,,COMPLETED,,,0.0,N.Y. POLICE DEPT,113,FELONY,,FORGERY,,PATROL BORO BKLYN SOUTH,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELO",STREET,01/12/2019,,45-64,BLACK,F,,UNKNOWN,UNKNOWN,E,997071.0,181380.0,40.664521853000046,-73.95378770499997,"(40.664521853000046, -73.95378770499997)",2019-01-12 00:00:00,11225.0
