zipcode,num_of_airbnb,avg_price,total_reviews,avg_location_review_score,avg_review_score,num_of_bus,num_of_sub,c_distance,num_of_restaurant,num_of_market,num_of_tourist_attractions,num_of_travel_agency,total_population,num_of_children,youth_20_to_39,White,Black_Or_African_American,American_Indian_Or_Alaskan_Native,Asian,household_income_less_than_25000_percent,bachelor_above_percentage,employment_rate,crimes_in_half_year,housing_built_after_1990,home_value_less_than_400000,home_value_more_than_400000,num_of_studio_apt,num_of_1b_apt,num_of_2b_apt,num_of_3plus_b_apt,vancancy_reason_For_Season_Recreational_Or_Occasional_Use,Renter_Occupied_Households,Owned_Households_With_A_Mortgage,zillow_rent_index
2026,1,50.0,1,4.0,8.0,31.0,0.0,15.903,0.0,0.0,0.0,0.0,24711,5563,5583.0,21841,1344,65,640,0.13862522165432356,0.4591444029226393,0.6798442064264849,0.0,1849.0,4108.0,2697.0,212.0,817.0,1202.0,551.0,76.0,2679.0,5018.0,2478.29
2108,111,256.27927927927925,6217,9.90566037735849,9.235849056603774,24.0,6.0,0.848,73.0,2.0,17.0,8.0,3825,690,1383.0,3487,105,5,139,0.13026315789473683,0.8475266123982468,0.7781680626857606,81.0,215.0,116.0,642.0,314.0,793.0,354.0,61.0,151.0,1031.0,542.0,3009.5
2109,88,240.13636363636363,4185,9.985074626865671,9.17910447761194,13.0,1.0,1.255,81.0,4.0,7.0,9.0,3771,261,1842.0,3320,120,6,225,0.1325080238422742,0.6901049050184292,0.7579699056363173,30.0,310.0,136.0,654.0,35.0,827.0,500.0,29.0,262.0,1335.0,511.0,3007.63
2110,39,249.0,1184,9.514285714285714,9.028571428571428,23.0,0.0,0.8590000000000001,76.0,0.0,16.0,18.0,1733,111,504.0,1542,43,4,93,0.11238938053097346,0.8335561497326205,0.6622247972190035,39.0,111.0,41.0,569.0,0.0,300.0,170.0,50.0,151.0,433.0,432.0,3336.34
2111,213,255.18779342723005,5426,9.641618497109826,8.936416184971097,8.0,6.0,0.723,103.0,10.0,7.0,9.0,7383,1382,2956.0,3295,276,3,3572,0.4195574162679426,0.5344383057090238,0.684589800443459,193.0,1298.0,183.0,750.0,175.0,1370.0,694.0,172.0,140.0,2398.0,695.0,3110.7
2113,146,203.08219178082192,12971,9.992366412213741,9.244274809160306,0.0,0.0,1.016,79.0,6.0,13.0,4.0,6915,336,4711.0,6541,48,13,174,0.18914956011730205,0.7883720930232558,0.855448814169919,19.0,244.0,338.0,493.0,344.0,1587.0,1106.0,224.0,80.0,3527.0,581.0,2870.02
2114,386,254.15803108808294,12855,9.897959183673473,9.214285714285714,15.0,4.0,1.3769999999999998,62.0,7.0,16.0,5.0,11999,985,7155.0,9606,827,13,1171,0.18302658486707565,0.8049097004433869,0.7992199273114086,62.0,943.0,715.0,1133.0,788.0,2698.0,1211.0,301.0,274.0,5149.0,1315.0,2920.33
2115,287,239.53310104529618,6967,9.674641148325355,8.995215311004785,57.0,7.0,4.691,104.0,8.0,13.0,3.0,28441,7731,15433.0,19755,2414,73,4259,0.48750653423941454,0.6059056257840394,0.7229814555758814,99.0,420.0,290.0,883.0,1419.0,3990.0,2127.0,856.0,141.0,9055.0,944.0,2969.02
2116,506,224.87549407114625,17006,9.777215189873418,8.89873417721519,38.0,4.0,1.882,132.0,7.0,38.0,11.0,20628,3235,8898.0,15377,1329,26,3101,0.22638762511373978,0.7802523659305994,0.7746,168.0,1258.0,588.0,3808.0,1087.0,3252.0,1511.0,744.0,770.0,6751.0,3016.0,3256.02
2118,305,230.27213114754105,13121,9.68359375,9.1875,89.0,15.0,2.439,80.0,17.0,44.0,2.0,26498,4281,11838.0,14256,5620,89,3620,0.3387224599778095,0.5696784839241963,0.7119429297691772,550.0,2253.0,1026.0,3048.0,1416.0,2798.0,3100.0,1230.0,105.0,8348.0,3430.0,3055.05
2119,259,134.8030888030888,10938,8.927601809954751,9.361990950226243,112.0,3.0,4.355,43.0,17.0,24.0,2.0,25346,7278,7367.0,3759,15008,237,355,0.47472417251755267,0.22819055087237794,0.6059471930274289,589.0,2358.0,1535.0,641.0,829.0,1967.0,2465.0,2533.0,18.0,7802.0,1908.0,2869.14
2120,101,186.84158415841583,3280,9.43661971830986,9.056338028169014,42.0,4.0,4.354,13.0,5.0,5.0,0.0,15181,3813,7877.0,7634,3639,99,1685,0.40246316252474157,0.35265041758990967,0.7147524914229703,110.0,1366.0,351.0,117.0,210.0,859.0,1358.0,1652.0,19.0,4513.0,436.0,3104.34
2121,98,78.01020408163265,2268,8.79746835443038,9.405063291139241,83.0,0.0,6.113,17.0,12.0,11.0,1.0,25978,8887,7219.0,1971,18324,193,207,0.4531298022743571,0.14134253837144795,0.5817368472235729,323.0,1126.0,1655.0,595.0,256.0,1399.0,3067.0,2789.0,15.0,7583.0,1682.0,2740.2
