zipcode,num_of_airbnb,avg_price,total_reviews,avg_location_review_score,avg_review_score,num_of_bus,num_of_sub,c_distance,num_of_restaurant,num_of_market,num_of_tourist_attractions,num_of_travel_agency,total_population,num_of_children,youth_20_to_39,White,Black_Or_African_American,American_Indian_Or_Alaskan_Native,Asian,household_income_less_than_25000_percent,bachelor_above_percentage,employment_rate,crimes_in_half_year,housing_built_after_1990,home_value_less_than_400000,home_value_more_than_400000,num_of_studio_apt,num_of_1b_apt,num_of_2b_apt,num_of_3plus_b_apt,vancancy_reason_For_Season_Recreational_Or_Occasional_Use,Renter_Occupied_Households,Owned_Households_With_A_Mortgage,zillow_rent_index
20001,1290,210.80077519379844,62223,9.695445920303603,9.477229601518026,177.0,4.0,1.676,259.0,22.0,58.0,9.0,38551.0,6711.0,19472.0,12752.0,19923.0,160.0,2734.0,0.22802525011910432,0.5736268433425946,0.7630360323331963,210.0,5989.0,1739.0,4785.0,957.0,4347.0,3424.0,1540.0,248.0,10324.0,5549.0,2675.23
20002,1593,196.3358443188952,73416,9.554882664647996,9.596212121212119,258.0,2.0,3.15,178.0,41.0,31.0,7.0,52370.0,10378.0,19953.0,16663.0,32477.0,187.0,906.0,0.2519810508182601,0.4770340407904676,0.704388948809425,370.0,1928.0,4602.0,5435.0,627.0,6003.0,3926.0,2627.0,146.0,12954.0,8305.0,2356.01
20003,742,219.90700808625337,35561,9.81260096930533,9.623586429725362,89.0,5.0,2.762,107.0,16.0,30.0,0.0,26454.0,3593.0,12661.0,14776.0,9789.0,109.0,734.0,0.12244355909694556,0.6534416377124612,0.738994615479469,95.0,2476.0,1122.0,4526.0,386.0,2811.0,1527.0,923.0,270.0,6212.0,4712.0,2461.75
20004,18,482.83333333333326,103,10.0,9.666666666666666,40.0,2.0,0.941,95.0,0.0,13.0,7.0,1622.0,62.0,830.0,1267.0,111.0,4.0,154.0,0.028703703703703703,0.9594405594405595,0.9257731958762887,10.0,1070.0,195.0,325.0,23.0,486.0,44.0,7.0,254.0,598.0,464.0,2567.32
20005,311,250.3890675241157,8739,9.895734597156398,9.469194312796207,71.0,1.0,1.587,113.0,3.0,10.0,12.0,12775.0,781.0,7849.0,8123.0,1998.0,37.0,1049.0,0.15792091519522508,0.7527441332323996,0.8444885285492496,58.0,2345.0,757.0,1296.0,1986.0,2837.0,839.0,327.0,216.0,6341.0,1827.0,2494.98
20007,401,298.860349127182,15108,9.903426791277258,9.53582554517134,128.0,0.0,5.734,121.0,8.0,41.0,8.0,26866.0,3482.0,13178.0,23316.0,885.0,41.0,1611.0,0.11482775836245632,0.8640350877192982,0.76454062596023,45.0,649.0,1096.0,5348.0,844.0,2361.0,1392.0,977.0,297.0,6439.0,4850.0,2763.77
20008,225,203.3955555555556,6655,9.9,9.53529411764706,100.0,3.0,5.8370000000000015,68.0,6.0,27.0,5.0,27525.0,2683.0,12615.0,22631.0,1456.0,80.0,2093.0,0.09014894172981448,0.8753747706627288,0.8202844131980507,30.0,994.0,1549.0,4291.0,1978.0,4974.0,1954.0,562.0,283.0,9662.0,4592.0,2378.2
20009,1291,191.31061192873744,46130,9.92632612966601,9.56581532416503,100.0,2.0,3.15,189.0,24.0,30.0,9.0,47992.0,5230.0,27138.0,30116.0,10276.0,176.0,2465.0,0.13550340651021953,0.75464419107529,0.854505947939072,173.0,3247.0,2668.0,6551.0,3770.0,8128.0,4269.0,1034.0,274.0,17575.0,8235.0,2655.67
20010,597,136.47236180904522,21532,9.64969450101833,9.519348268839103,72.0,1.0,4.372,89.0,20.0,18.0,1.0,30138.0,4920.0,14989.0,12981.0,9696.0,206.0,1102.0,0.19789523658806774,0.5195418634786607,0.7909559698532329,108.0,1087.0,1542.0,2682.0,2039.0,3624.0,1608.0,1143.0,46.0,8411.0,3629.0,2442.98
20011,635,150.0724409448819,21138,9.440384615384616,9.578846153846154,274.0,1.0,6.38,85.0,27.0,12.0,0.0,58536.0,12739.0,17630.0,8680.0,38987.0,281.0,770.0,0.23562900964438968,0.3459163436401334,0.6754590984974959,220.0,977.0,7311.0,5357.0,1042.0,5346.0,2362.0,2119.0,29.0,10580.0,9605.0,2088.99
20012,126,96.35714285714286,3438,9.704761904761904,9.586538461538463,91.0,1.0,9.163,22.0,5.0,8.0,1.0,13414.0,2581.0,3374.0,3042.0,8771.0,63.0,249.0,0.16185383244206775,0.52643470402169,0.6589698046181173,43.0,488.0,818.0,2645.0,203.0,883.0,707.0,354.0,10.0,2029.0,2907.0,2104.87
20015,61,174.45901639344262,2644,9.8,9.74,108.0,1.0,8.701,19.0,3.0,13.0,5.0,15332.0,3470.0,3063.0,12530.0,1394.0,24.0,699.0,0.10011123470522804,0.8425909650202144,0.7120993589743589,14.0,435.0,347.0,4292.0,312.0,779.0,324.0,239.0,45.0,1842.0,3619.0,2262.04
20016,141,163.68794326241135,4630,9.9009009009009,9.576576576576576,154.0,1.0,7.779,59.0,5.0,24.0,4.0,32519.0,7487.0,9872.0,27503.0,1439.0,75.0,1990.0,0.10505465483090015,0.8290385399211992,0.6959871807984728,32.0,1110.0,1821.0,7199.0,564.0,2413.0,955.0,679.0,300.0,5066.0,6469.0,2541.89
20017,167,131.82035928143713,6896,9.461538461538463,9.685314685314683,142.0,1.0,5.2620000000000005,25.0,6.0,7.0,0.0,17735.0,3615.0,5105.0,3498.0,12801.0,65.0,310.0,0.21500271296798698,0.3907392363931763,0.6355715974858424,60.0,302.0,2839.0,1135.0,93.0,1397.0,1119.0,789.0,12.0,3149.0,3199.0,1965.72
20018,181,117.5303867403315,6184,9.38,9.7,159.0,1.0,5.115,27.0,8.0,9.0,3.0,16894.0,3657.0,4098.0,1179.0,14529.0,71.0,167.0,0.3230179378337669,0.27941176470588236,0.5775490987355394,114.0,785.0,2604.0,1370.0,167.0,1634.0,685.0,843.0,11.0,2844.0,3265.0,2256.48
20019,242,99.82644628099173,7910,8.902912621359222,9.553398058252425,311.0,3.0,6.436,25.0,10.0,18.0,0.0,54358.0,16588.0,13682.0,599.0,51984.0,147.0,80.0,0.4064313798914061,0.1339552353683692,0.5537456838312567,450.0,3152.0,7114.0,620.0,246.0,4417.0,5876.0,3091.0,21.0,13988.0,6227.0,1733.74
20020,262,126.43129770992368,7271,8.753554502369669,9.436018957345972,305.0,2.0,5.1320000000000014,24.0,8.0,12.0,0.0,49864.0,15636.0,13577.0,966.0,47691.0,128.0,128.0,0.39139934452279274,0.16042263956447508,0.54684952775262,356.0,2757.0,4908.0,1062.0,405.0,4850.0,6316.0,2597.0,28.0,13644.0,5219.0,1742.12
20024,146,274.39041095890406,5412,9.53,9.35,54.0,2.0,2.229,49.0,2.0,56.0,6.0,11510.0,1702.0,4096.0,3941.0,6370.0,76.0,526.0,0.20186647523330942,0.6557291666666667,0.7269334826009888,34.0,981.0,2077.0,821.0,601.0,1675.0,1312.0,479.0,195.0,4038.0,2121.0,2525.46
20032,93,151.89247311827958,3707,8.782608695652174,9.485294117647056,247.0,0.0,6.9129999999999985,0.0,0.0,3.0,0.0,35653.0,11582.0,10787.0,2132.0,32358.0,83.0,171.0,0.42037192928751815,0.14104006653294848,0.546748042207434,256.0,2694.0,2645.0,131.0,224.0,3286.0,3989.0,2792.0,6.0,10456.0,2640.0,1785.34
20036,117,181.7863247863248,4928,9.989010989010989,9.417582417582418,37.0,2.0,2.438,146.0,0.0,10.0,12.0,5435.0,115.0,3506.0,4185.0,432.0,9.0,543.0,0.14323467230443976,0.8636667409222545,0.8612156008711147,52.0,356.0,634.0,588.0,864.0,1382.0,300.0,16.0,128.0,2569.0,1052.0,2290.55
20037,274,309.6459854014599,10539,9.905027932960893,9.268156424581006,27.0,1.0,3.285,61.0,4.0,8.0,4.0,14642.0,1730.0,9053.0,11467.0,958.0,23.0,1559.0,0.23316744730679156,0.8393095903731616,0.6545774647887324,24.0,1675.0,637.0,1547.0,1332.0,2596.0,641.0,79.0,708.0,4404.0,1599.0,2613.3
20712,3,103.0,358,9.0,9.333333333333334,45.0,0.0,6.971,10.0,1.0,4.0,0.0,9031.0,2323.0,3276.0,1779.0,4786.0,49.0,197.0,0.23035300180365886,0.2765133171912833,0.7794987327513376,0.0,269.0,939.0,122.0,239.0,1434.0,1023.0,124.0,7.0,2682.0,842.0,2116.28
20722,1,75.0,0,,,42.0,0.0,7.27,14.0,1.0,6.0,0.0,5711.0,1610.0,1692.0,1411.0,2285.0,43.0,258.0,0.21346270466949666,0.16676317313259992,0.7173966839891117,0.0,135.0,1057.0,49.0,40.0,207.0,117.0,179.0,1.0,501.0,1066.0,1700.26
20743,3,109.66666666666669,19,9.5,9.5,228.0,2.0,10.842,9.0,2.0,3.0,0.0,38621.0,11162.0,10293.0,1283.0,35044.0,145.0,151.0,0.20708795900939367,0.14482982698399807,0.6786577272572577,7.0,2724.0,8344.0,241.0,115.0,1200.0,2194.0,1958.0,13.0,4987.0,7388.0,1677.74
