zipcode,num_of_airbnb,avg_price,total_reviews,avg_location_review_score,avg_review_score,num_of_bus,num_of_sub,c_distance,num_of_restaurant,num_of_market,num_of_tourist_attractions,num_of_travel_agency,total_population,num_of_children,youth_20_to_39,White,Black_Or_African_American,American_Indian_Or_Alaskan_Native,Asian,household_income_less_than_25000_percent,bachelor_above_percentage,employment_rate,crimes_in_half_year,housing_built_after_1990,home_value_less_than_400000,home_value_more_than_400000,num_of_studio_apt,num_of_1b_apt,num_of_2b_apt,num_of_3plus_b_apt,vancancy_reason_For_Season_Recreational_Or_Occasional_Use,Renter_Occupied_Households,Owned_Households_With_A_Mortgage,zillow_rent_index
10001,513,250.08576998050685,11336,9.75414364640884,8.950276243093922,17.0,5.0,4.276,296.0,14.0,134.0,63.0,21102.0,2946.0,9104.0,13722.0,1897.0,75.0,3539.0,0.20400943396226415,0.6930587049634668,0.7384576865297946,116.0,3365.0,1160.0,1847.0,1610.0,3869.0,1640.0,898.0,278.0,8196.0,1348.0,3645.64
10002,1213,185.37922506183014,33405,9.690816326530612,9.318367346938777,33.0,6.0,1.706,320.0,56.0,160.0,27.0,81410.0,15041.0,26016.0,25506.0,6836.0,374.0,37914.0,0.4190716727754335,0.2925837588641129,0.5544166924788105,103.0,2876.0,1142.0,3219.0,2337.0,10879.0,10460.0,4430.0,216.0,27862.0,2336.0,3704.24
10003,1032,238.9215116279069,22102,9.908616187989557,9.352480417754569,18.0,6.0,2.552,485.0,35.0,63.0,15.0,56024.0,9026.0,26764.0,42794.0,1977.0,101.0,8088.0,0.16647882203235775,0.7764238410596027,0.7382074164403303,77.0,1813.0,795.0,7563.0,4305.0,9374.0,3956.0,1512.0,1005.0,20169.0,5112.0,4141.67
10004,68,201.42647058823533,853,9.925,9.45,3.0,3.0,2.8480000000000003,95.0,2.0,21.0,13.0,3089.0,416.0,1761.0,2167.0,97.0,8.0,655.0,0.07062937062937064,0.7843794920939148,0.8773662551440329,10.0,270.0,44.0,317.0,423.0,380.0,196.0,70.0,170.0,1246.0,357.0,3998.9
10005,379,262.85488126649085,3652,9.888501742160278,9.529616724738675,2.0,2.0,0.787,42.0,1.0,3.0,5.0,7135.0,464.0,5537.0,5001.0,242.0,10.0,1480.0,0.11087248322147651,0.8872848417545807,0.895742016280526,8.0,1425.0,51.0,509.0,1358.0,1174.0,543.0,90.0,175.0,3592.0,555.0,3964.36
10006,69,195.05797101449275,788,9.921052631578947,9.236842105263158,1.0,4.0,0.6809999999999999,45.0,2.0,8.0,5.0,3011.0,179.0,2346.0,2088.0,137.0,4.0,591.0,0.11764705882352941,0.8146853146853146,0.9437100213219615,4.0,261.0,0.0,168.0,628.0,530.0,225.0,47.0,86.0,1497.0,264.0,3771.32
10007,67,433.8059701492537,279,9.777777777777779,8.925925925925926,3.0,7.0,0.189,75.0,2.0,8.0,10.0,6988.0,1247.0,3526.0,5281.0,471.0,5.0,878.0,0.03391136801541426,0.7674790251697964,0.7805145046524357,13.0,1507.0,65.0,830.0,248.0,769.0,572.0,111.0,135.0,2013.0,661.0,9276.31
10009,1094,172.39762340036563,27653,9.734304932735428,9.315022421524665,34.0,1.0,2.764,199.0,27.0,45.0,3.0,61347.0,8544.0,26354.0,38077.0,6036.0,304.0,8377.0,0.2784373414510401,0.5759746925607021,0.6726587671884079,38.0,2496.0,644.0,1682.0,3023.0,9877.0,10157.0,4182.0,182.0,27628.0,1330.0,3380.9
10010,327,253.8807339449541,5784,9.748936170212763,9.302127659574467,27.0,3.0,3.54,197.0,14.0,44.0,18.0,31834.0,3761.0,15628.0,23493.0,1877.0,69.0,4586.0,0.18370407398150462,0.7367589944944731,0.701747572815534,42.0,2493.0,732.0,3274.0,2089.0,5872.0,3420.0,617.0,538.0,12323.0,2650.0,3818.05
10011,807,233.83147459727383,16599,9.91652754590985,9.375626043405676,15.0,8.0,3.287,317.0,25.0,101.0,18.0,50984.0,5737.0,20606.0,40922.0,2348.0,110.0,4517.0,0.14468547374138574,0.7706591956285167,0.7840723184697345,68.0,3375.0,1147.0,9080.0,4575.0,9690.0,3938.0,1027.0,1212.0,19879.0,6694.0,3915.24
10012,703,224.3669985775249,14023,9.950850661625713,9.318867924528304,8.0,5.0,1.575,293.0,14.0,61.0,8.0,24090.0,2379.0,11985.0,18203.0,596.0,30.0,3985.0,0.1656764168190128,0.7554788862432578,0.7896338920857309,55.0,666.0,211.0,2085.0,1605.0,5507.0,2939.0,781.0,409.0,10721.0,1627.0,4683.43
10013,443,301.9480812641084,7456,9.846846846846844,9.357357357357355,7.0,9.0,0.821,352.0,31.0,86.0,18.0,27700.0,4550.0,10490.0,15407.0,1040.0,30.0,10006.0,0.2500905141202028,0.6166604447762787,0.6764300022256844,58.0,2109.0,184.0,2971.0,799.0,4153.0,2282.0,659.0,385.0,8875.0,2196.0,7798.03
10014,719,269.51738525730184,14275,9.953736654804269,9.323843416370106,9.0,3.0,2.363,287.0,15.0,58.0,7.0,31959.0,2914.0,14768.0,28094.0,660.0,54.0,1874.0,0.11102649186748627,0.8190931700784388,0.8176930423402073,51.0,861.0,493.0,4611.0,3208.0,7280.0,2071.0,720.0,811.0,14459.0,3496.0,4068.4
10016,1000,231.751,11332,9.700305810397557,9.074923547400612,22.0,2.0,4.3,326.0,21.0,35.0,27.0,54183.0,4285.0,29728.0,40517.0,2176.0,91.0,8998.0,0.13136383192313209,0.7943772884586447,0.7871219553811373,62.0,4036.0,1105.0,7006.0,4375.0,10647.0,3768.0,991.0,1442.0,24219.0,5265.0,3445.88
