,Unnamed: 0,station_name,station_lon,station_lat,line,city,type,zipcode
0,0,W 4th St - Washington Sq (Lower),-74.00030815,40.73225483,B-D-F-M,ny,subway,10011
1,1,Buhre Ave,-73.83256899999998,40.84681033,6-6 Express,ny,subway,10461
2,2,51st St,-73.97192,40.75710733,4-6-6 Express,ny,subway,10022
3,3,86th St,-73.976218,40.78864433,1ÔÂ2ÈÕ,ny,subway,10024
4,4,Brooklyn Bridge - City Hall,-74.004131,40.71306533,4-5-6-6 Express,ny,subway,10007
5,5,33rd St,-73.982076,40.74608133,4-6-6 Express,ny,subway,10016
6,6,Lexington Ave - 59th St,-73.967967,40.76252633,4-5-6-6 Express,ny,subway,10022
7,7,233rd St,-73.85736239,40.89314358,2ÔÂ5ÈÕ,ny,subway,10466
8,8,66th St - Lincoln Ctr,-73.982209,40.77344033,1ÔÂ2ÈÕ,ny,subway,10023
9,9,Hunts Point Ave,-73.890549,40.82094833,6-6 Express,ny,subway,10474
10,10,Canal St,-74.006277,40.72285433,1ÔÂ2ÈÕ,ny,subway,10013
11,11,Middletown Rd,-73.836322,40.84386333,6-6 Express,ny,subway,10461
12,12,23rd St,-73.986599,40.73986433,4-6-6 Express,ny,subway,10010
13,13,45th Rd - Court House Sq,-73.945264,40.74702333,7-7 Express,ny,subway,11101
14,14,Astor Pl,-73.99107,40.73005433,4-6-6 Express,ny,subway,10003
15,15,59th St - Columbus Circle,-73.98192900000002,40.76824733,1ÔÂ2ÈÕ,ny,subway,10019
16,16,Hunters Point Ave,-73.948916,40.74221633,7-7 Express,ny,subway,11101
17,17,96th St,-73.95107,40.78567233,4-6-6 Express,ny,subway,10128
18,18,Mets - Willets Point,-73.845625,40.75462233,7-7 Express,ny,subway,11368
19,19,23rd St,-73.995657,40.74408133,1ÔÂ2ÈÕ,ny,subway,10011
20,20,Houston St,-74.005367,40.72825133,1ÔÂ2ÈÕ,ny,subway,10014
21,21,3rd Ave - 138th St,-73.926138,40.81047633,6-6 Express,ny,subway,10454
22,22,Zerega Ave,-73.847036,40.83648833,6-6 Express,ny,subway,10462
23,23,104th St,-73.837683,40.68171133,A-S,ny,subway,11417
24,24,Bleecker St (Downtown),-73.99467468,40.72593124,4-6-6 Express,ny,subway,10012
25,25,Castle Hill Ave,-73.85122199999998,40.83425533,6-6 Express,ny,subway,10462
26,26,Broad Channel,-73.81583269,40.60840251,A-S,ny,subway,11693
27,27,Ocean Pkwy,-73.968501,40.576312,Q,ny,subway,11235
28,28,50th St,-73.98384899999998,40.76172833,1ÔÂ2ÈÕ,ny,subway,10019
29,29,Vernon Blvd - Jackson Ave,-73.953581,40.74262633,7-7 Express,ny,subway,11101
30,30,68th St - Hunter College,-73.96387,40.76814133,4-6-6 Express,ny,subway,10065
31,31,Queensboro Plz,-73.94016353,40.75063598,7-7 Express-N-W,ny,subway,11101
32,32,Rockaway Blvd,-73.843853,40.68042933,A-S,ny,subway,11422
33,33,Union Sq - 14th St,-73.989951,40.73467333,4-5-6-6 Express,ny,subway,10003
34,34,Junction Blvd,-73.869527,40.74914533,7-7 Express,ny,subway,11372
35,35,Classon Ave,-73.95999,40.68888933,G,ny,subway,11238
36,36,Bedford - Nostrand Aves,-73.95352199999998,40.68962733,G,ny,subway,11205
37,37,15th St - Prospect Park,-73.97973581,40.66003602,F-G,ny,subway,11215
38,38,7th Ave,-73.98025118,40.66624502,F-G,ny,subway,11215
39,39,Ft Hamilton Pkwy,-73.975776,40.650782,F-G,ny,subway,11218
40,40,Church Ave,-73.97972116,40.64427233,F-G,ny,subway,11218
41,41,Beverly Rd,-73.9643578,40.64390493,B-Q,ny,subway,11226
42,42,Church Ave,-73.96288246,40.65049358,B-Q,ny,subway,11226
43,43,Newkirk Ave,-73.96269487,40.63514227,B-Q,ny,subway,11226
44,44,Parkside Ave,-73.96145344,40.65507337,B-Q,ny,subway,11226
45,45,Prospect Park,-73.96203129999998,40.66163379,B-Q-S,ny,subway,11225
46,46,Grand Army Plaza,-73.97095633,40.67529503,2002/3/4,ny,subway,11238
47,47,Bergen St,-73.97499915,40.68086247,2002/3/4,ny,subway,11217
48,48,Atlantic Ave,-73.97754994,40.6844205,2-3-4-5,ny,subway,11217
49,49,Rockaway Ave,-73.911946,40.67834033,A-C,ny,subway,11233
50,50,Fulton St,-73.975375,40.68711933,G,ny,subway,11217
51,51,Clinton - Washington Aves,-73.966796,40.68809433,G,ny,subway,11238
52,52,7th Ave,-73.97285279,40.67710251,B-Q,ny,subway,11238
53,53,Atlantic Ave,-73.97678344,40.68448866,B-Q,ny,subway,11217
54,54,Union St,-73.98311,40.677316,D-N-R,ny,subway,11215
55,55,Atlantic Av - Pacific St,-73.97881,40.683666,D-N-R,ny,subway,11217
