NAME,X,Y,URL,LINE
W 4th St - Washington Sq (Lower),-74.00030815,40.73225483,http://www.mta.info/nyct/subway/index.html,B-D-F-M
Buhre Ave,-73.832569,40.84681033,http://www.mta.info/nyct/subway/index.html,6-6 Express
51st St,-73.97192,40.75710733,http://www.mta.info/nyct/subway/index.html,4-6-6 Express
86th St,-73.976218,40.78864433,http://www.mta.info/nyct/subway/index.html,1月2日
Brooklyn Bridge - City Hall,-74.004131,40.71306533,http://www.mta.info/nyct/subway/index.html,4-5-6-6 Express
33rd St,-73.982076,40.74608133,http://www.mta.info/nyct/subway/index.html,4-6-6 Express
Lexington Ave - 59th St,-73.967967,40.76252633,http://www.mta.info/nyct/subway/index.html,4-5-6-6 Express
233rd St,-73.85736239,40.89314358,http://www.mta.info/nyct/subway/index.html,2月5日
66th St - Lincoln Ctr,-73.982209,40.77344033,http://www.mta.info/nyct/subway/index.html,1月2日
Hunts Point Ave,-73.890549,40.82094833,http://www.mta.info/nyct/subway/index.html,6-6 Express
Canal St,-74.006277,40.72285433,http://www.mta.info/nyct/subway/index.html,1月2日
Middletown Rd,-73.836322,40.84386333,http://www.mta.info/nyct/subway/index.html,6-6 Express
23rd St,-73.986599,40.73986433,http://www.mta.info/nyct/subway/index.html,4-6-6 Express
45th Rd - Court House Sq,-73.945264,40.74702333,http://www.mta.info/nyct/subway/index.html,7-7 Express
Astor Pl,-73.99107,40.73005433,http://www.mta.info/nyct/subway/index.html,4-6-6 Express
59th St - Columbus Circle,-73.981929,40.76824733,http://www.mta.info/nyct/subway/index.html,1月2日
Hunters Point Ave,-73.948916,40.74221633,http://www.mta.info/nyct/subway/index.html,7-7 Express
96th St,-73.95107,40.78567233,http://www.mta.info/nyct/subway/index.html,4-6-6 Express
Mets - Willets Point,-73.845625,40.75462233,http://www.mta.info/nyct/subway/index.html,7-7 Express
23rd St,-73.995657,40.74408133,http://www.mta.info/nyct/subway/index.html,1月2日
Houston St,-74.005367,40.72825133,http://www.mta.info/nyct/subway/index.html,1月2日
3rd Ave - 138th St,-73.926138,40.81047633,http://www.mta.info/nyct/subway/index.html,6-6 Express
Zerega Ave,-73.847036,40.83648833,http://www.mta.info/nyct/subway/index.html,6-6 Express
104th St,-73.837683,40.68171133,http://www.mta.info/nyct/subway/index.html,A-S
Bleecker St (Downtown),-73.99467468,40.72593124,http://www.mta.info/nyct/subway/index.html,4-6-6 Express
