,city,id,latitude,longitude,name,rating,type,zipcode
0,washington dc,ae10e8c3c036333f68b0ffe836d9604f11bf9964,38.85828460000001,-76.93343459999998,Bradbury Recreation Center,4.2,restaurant,20746.0
1,washington dc,b6019296259ae1dee6c4584915798be8b1e8cd84,38.8733059,-76.9353078,Pimento Grill Restaurant,4.6,restaurant,20019.0
2,washington dc,b56f1e457c4a4e77a40675b4c953fd79bafbebbd,38.8731548,-76.93123709999998,McDonald's,3.0,restaurant,20743.0
3,washington dc,f97bb962dca29ffba8fb474a025218a696ae7e4c,38.8725915,-76.92984799999998,Americas Best Pizza and Wings,2.8,restaurant,20743.0
4,washington dc,67748a189ca5984951f646e8e35dad39190c9708,38.87263970000001,-76.9297148,SUBWAYå¨Restaurants,3.3,restaurant,20743.0
5,washington dc,d75575b39880c9fe5ffef33c135262e1e42658f7,38.8737303,-76.9307558,Tasty Carry Out,2.6,restaurant,20743.0
6,washington dc,f2f6325a240801809d4580c01e1c078ba2bbe7e6,38.8730327,-76.93456390000001,White Corner Restaurant,4.5,restaurant,20743.0
7,washington dc,316f87d100352d6258a5ffe246d00ebde8cfd7be,38.8734151,-76.9291483,Eddies Carryout Restaurant,3.7,restaurant,20743.0
8,washington dc,6110b8eb897a45501a3e632dadd1f1c1329d2cff,38.8778362,-76.9307934,Goal Post Catering,,restaurant,20019.0
9,washington dc,69b62c59d0a91b81286e65dd1e47cec21d5cda1e,38.8783283,-76.9311063,Moon Star Carry-Out,3.0,restaurant,20019.0
10,washington dc,032996b38fa6e614afbe30f6fb8afb6e1400088f,38.8784319,-76.93090699999998,Brown Sugar Community Deli,,restaurant,20019.0
11,washington dc,010601fdf446ef5a811c17f76f73c2bee0b5341f,38.8784979,-76.93090529999998,Theo's,,restaurant,20019.0
12,washington dc,dbd4d08ec00073872dada80cda2fbd1740a3bbb5,38.8892403,-76.93665250000002,SUBWAYå¨Restaurants,3.3,restaurant,20019.0
13,washington dc,2ed7471c5cdc77001a4e07d4b956750a9907c3ca,38.8895081,-76.93668149999998,America's Best Wings,2.7,restaurant,20019.0
14,washington dc,8a872e6e42daef4dbac7f7ce6c0b6a6efa172711,38.8900321,-76.93723840000001,Shrimp Boat,2.8,restaurant,20019.0
