,zipcode,num_of_airbnb,num_of_beds,avg_price,total_reviews,avg_location_review_score,avg_review_score,num_of_bus,num_of_sub,num_of_crime,5_years_or_less,5-9_years,10-14_years,15-19_years,20-24_years,25-34_years,35-44_years,45-54_years,55-59_years,60-64_years,65-74_years,75-84_years,85_years_or_more,households,"$9,999_or_less","$10,000-$14,999","$15,000-$24,999","$25,000-$34,999","$35,000-$49,999","$50,000-$64,999","$65,000-$74,999","$75,000-$99,999","$100,000_or_more",median_household_income,mean_household_income
0,2939,1,1.0,100.0,1,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20001,1290,1947.0,210.80077519379844,62223,9.695445920303605,9.477229601518026,177.0,4.0,652.0,43731.0,1830.0,1400.0,989.0,2667.0,6425.0,13567.0,6012.0,4078.0,1598.0,2034.0,1748.0,979.0,404.0,17917.0,11.1,4.8,7.5,5.5,7.1,10.1,9.3,26.5,85976,106670
2,20002,1593,2359.0,196.33584431889517,73416,9.554882664647995,9.59621212121212,258.0,2.0,841.0,57412.0,3481.0,2080.0,1972.0,2308.0,4602.0,15451.0,9187.0,6834.0,3373.0,2942.0,3095.0,1491.0,596.0,24343.0,10.9,5.5,6.9,6,9.2,12,11.5,32.7,74303,98792
3,20003,742,1095.0,219.90700808625337,35561,9.81260096930533,9.623586429725364,89.0,5.0,299.0,28538.0,1650.0,873.0,557.0,810.0,2159.0,8329.0,5125.0,3129.0,1830.0,1327.0,1682.0,707.0,360.0,11912.0,4.8,2.6,3.7,3.5,6,12.2,11.6,29.8,112083,140336
4,20004,18,24.0,482.8333333333333,103,10.0,9.666666666666666,40.0,2.0,91.0,1667.0,68.0,10.0,11.0,0.0,36.0,456.0,438.0,241.0,47.0,131.0,182.0,22.0,25.0,1135.0,2,0,0.6,2.2,5.9,9.2,7.8,22.9,135859,173373
5,20005,311,361.0,250.38906752411575,8739,9.895734597156398,9.469194312796208,71.0,1.0,222.0,12947.0,386.0,131.0,117.0,95.0,856.0,5346.0,2329.0,1492.0,645.0,566.0,646.0,214.0,124.0,8351.0,7.9,2.8,5.7,3.8,7,15.1,14.7,36.8,87676,112947
6,20006,23,16.0,203.34782608695653,916,10.0,9.5,34.0,1.0,59.0,2905.0,0.0,0.0,0.0,1279.0,988.0,412.0,75.0,16.0,23.0,8.0,53.0,27.0,24.0,748.0,28.6,6.7,9.2,6.4,15,13,11.1,39.1,34125,43524
7,20007,401,609.0,298.860349127182,15108,9.903426791277258,9.53582554517134,128.0,,190.0,26687.0,1494.0,1013.0,721.0,1196.0,3802.0,5981.0,3412.0,2910.0,1224.0,1489.0,1915.0,1021.0,509.0,11985.0,6.6,1.4,3.2,3.9,6.7,12.1,9.2,28,119267,180698
8,20008,225,271.0,203.39555555555555,6655,9.9,9.535294117647059,100.0,3.0,112.0,28141.0,997.0,1168.0,497.0,517.0,1794.0,7745.0,4471.0,3155.0,1363.0,1483.0,2774.0,1264.0,913.0,15495.0,3.5,1.9,3.3,3.3,5.2,15.2,11.2,31.6,111074,164615
9,20009,1291,1530.0,191.31061192873742,46130,9.926326129666013,9.56581532416503,100.0,2.0,492.0,51499.0,2111.0,1358.0,777.0,960.0,3652.0,20992.0,8593.0,5801.0,1813.0,2052.0,2328.0,818.0,244.0,26682.0,6.7,1.9,4.6,4.5,8.1,13.7,12.8,34.6,94213,121153
