intptlat,intptlong,zcta5
18.18055534,-66.74996185,601
18.3619442,-67.17559814,602
18.45518303,-67.11988831,603
18.15834427,-66.93291473,606
18.29536629,-67.12513733,610
18.4022522,-66.71139526,612
18.42041206,-66.67198181,616
18.44514656,-66.55969238,617
17.99124527,-67.1539917,622
18.08336067,-67.15390015,623
18.06491852,-66.71668243,624
18.41259956,-66.86392975,627
18.19060707,-66.83203888,631
18.07671356,-66.9473877,637
18.2959137,-66.51558685,638
18.26308441,-66.71298218,641
18.43314934,-66.28587341,646
17.96361351,-66.9471283,647
18.34941673,-66.57807922,650
18.448452,-66.59412384,652
17.98503304,-66.88653564,653
18.05353928,-66.7929306,656
18.40722656,-66.80899811,659
18.13469505,-67.11619568,660
18.46832085,-67.01577759,662
18.21032906,-66.59161377,664
18.00342178,-67.03581238,667
18.27710152,-66.86964417,669
18.24018669,-66.98877716,670
18.42290878,-66.48933411,674
18.37763786,-67.07957458,676
18.33256721,-67.22702026,677
18.4340992,-66.92738342,678
18.18205452,-67.13249969,680
18.22146416,-67.15603638,682
18.10779953,-67.03726196,683
18.33292961,-66.95968628,685
18.31902695,-66.42055511,687
18.38226318,-66.62643433,688
18.4955101,-67.09867096,690
18.41018867,-66.33655548,692
18.42300034,-66.39723206,693
18.48237038,-66.39108276,694
18.06484795,-66.85631561,698
18.24840164,-66.13066101,703
17.96577072,-66.21955872,704
18.12896156,-66.26668549,705
18.01405525,-65.92075348,707
18.00302505,-66.04623413,714
18.01123238,-66.56006622,715
17.99204063,-66.60585785,716
18.00322151,-66.61403656,717
18.23198891,-65.75962067,718
18.28992653,-66.25344086,719
18.2179451,-66.4280777,720
18.04349709,-66.01548004,723
18.21881866,-66.04237366,725
18.21530724,-66.07356262,727
17.98985291,-66.66411591,728
18.32358551,-65.88320923,729
18.03083038,-66.61683655,730
18.1099472,-66.63562012,731
18.25260353,-65.68249512,735
18.10362434,-66.15166473,736
18.30445862,-65.69870758,738
18.17723274,-66.16064453,739
18.33117867,-65.63410187,740
18.1638546,-65.75404358,741
18.35221672,-65.81739044,745
18.00131607,-66.25218201,751
18.14710617,-65.97616577,754
17.99544144,-66.39133453,757
18.13009644,-65.4393692,765
18.13319588,-66.47691345,766
18.06948853,-65.89616394,767
18.10379982,-66.35758972,769
18.18714714,-65.8711853,771
18.43896866,-65.90516663,772
18.34288788,-65.72310638,773
18.32659912,-65.30771637,775
18.22413254,-65.90853882,777
18.26407623,-65.978508,778
18.1028347,-66.5681076,780
18.22570801,-66.22163391,782
18.3039093,-66.3261795,783
18.01071358,-66.13361359,784
18.15542412,-66.22990417,786
18.13678169,-65.8214798,791
18.19895554,-66.30982971,794
18.06049347,-66.50062561,795
18.34987068,-64.97401428,801
18.34070969,-64.92333221,802
17.74309921,-64.68655396,820
17.72354889,-64.74593353,823
17.74455643,-64.68292999,824
18.3385582,-64.73652649,830
18.3272934,-64.78672028,831
17.7478714,-64.88069153,840
17.76813507,-64.8078537,841
17.7052536,-64.75255585,850
17.73222733,-64.77075958,851
18.46536827,-66.10461426,901
18.46446037,-66.09499359,906
18.4525528,-66.07783508,907
18.44161034,-66.06713104,909
18.45115852,-66.05619812,911
18.44532776,-66.06013489,912
18.45000267,-66.04265594,913
18.43717957,-66.04557037,915
18.42067337,-66.05010223,917
18.42102242,-66.06578827,918
18.41429138,-66.08804321,920
18.39228249,-66.08855438,921
18.40930748,-66.03888702,923
18.39919281,-66.01245117,924
18.40029526,-66.05060577,925
18.34539986,-66.05154419,926
18.38801193,-66.07209015,927
18.4113121,-66.12423706,934
18.39546394,-66.07376862,936
18.43069649,-66.21282959,949
18.45969963,-66.23310089,950
18.42753029,-66.25379181,951
18.42744827,-66.18202972,952
18.36072922,-66.25152588,953
18.32113647,-66.17041779,956
18.36841393,-66.18769073,957
18.38578415,-66.15565491,959
18.41691971,-66.14579773,960
18.41330719,-66.16468048,961
18.44461441,-66.14881897,962
18.43375778,-66.11475372,965
18.40152168,-66.11759949,966
18.40608406,-66.10123444,968
18.36806107,-66.10806274,969
18.3188839,-66.1191864,971
18.33617973,-65.99410248,976
18.44439316,-66.03003693,979
18.4112606,-65.99204254,982
18.41781616,-65.97582245,983
18.41077423,-65.94792938,985
18.33816147,-65.94108582,987
42.06236649,-72.62575531,1001
42.36405945,-72.45874023,1002
42.38994217,-72.52410889,1003
42.41884613,-72.1065979,1005
42.27901077,-72.40046692,1007
42.19018936,-72.95426178,1008
42.20966721,-72.33974457,1009
42.12817764,-72.20535278,1010
42.30028152,-72.96871948,1011
42.37542343,-72.85819244,1012
42.15490341,-72.60280609,1013
42.17260361,-72.56207275,1020
42.19774246,-72.54270935,1022
42.46549606,-72.9182663,1026
42.29500961,-72.75187683,1027
42.06237793,-72.49810791,1028
42.19339371,-73.04464722,1029
42.07292557,-72.68697357,1030
42.32938004,-72.19815826,1031
42.4576149,-72.81478119,1032
42.24494934,-72.50014496,1033
42.09391022,-72.96110535,1034
42.35649109,-72.56863403,1035
42.07118988,-72.41771698,1036
42.37272644,-72.19541168,1037
42.38549423,-72.60692596,1038
42.40428543,-72.6889267,1039
42.21165466,-72.64244843,1040
42.28676224,-72.86969757,1050
42.35630035,-72.7135849,1053
42.46889877,-72.48458099,1054
42.18357849,-72.45780945,1056
42.09359741,-72.32149506,1057
42.32148743,-72.63058472,1060
42.32830811,-72.70392609,1062
42.31888199,-72.63852692,1063
42.40690994,-72.65501404,1066
42.3508606,-72.04425049,1068
42.18779373,-72.30847168,1069
42.51844788,-72.91901398,1070
42.1600647,-72.87384033,1071
42.4569664,-72.41724396,1072
42.22694778,-72.74158478,1073
42.38760376,-72.0932312,1074
42.25620651,-72.5810318,1075
42.05257034,-72.77735138,1077
42.19791412,-72.32971191,1079
42.18572617,-72.36155701,1080
42.06131363,-72.23441315,1081
42.29353333,-72.2786026,1082
42.2036438,-72.19459534,1083
42.39236832,-72.88223267,1084
42.15350342,-72.77159882,1085
42.13044739,-72.7939682,1086
42.39170837,-72.646492,1088
42.12545013,-72.6497345,1089
42.19186783,-72.23510742,1092
42.44194412,-72.66181946,1093
42.35910797,-72.13680267,1094
42.13850021,-72.42071533,1095
42.39713669,-72.76355743,1096
42.17803955,-72.83261108,1097
42.39431381,-72.94311523,1098
42.1041069,-72.59202576,1103
42.13401031,-72.56537628,1104
42.09995651,-72.58076477,1105
42.04756546,-72.57112885,1106
42.12105942,-72.60707092,1107
42.08069229,-72.56079102,1108
42.11967468,-72.54972839,1109
42.0941925,-72.52507782,1118
42.12497711,-72.51120758,1119
42.0922966,-72.48913574,1128
42.11869049,-72.48819733,1129
42.15185928,-72.50913239,1151
42.12056351,-72.6044693,1199
42.44823456,-73.27372742,1201
42.62379837,-73.11673737,1220
42.05870438,-73.32217407,1222
42.31222534,-73.11012268,1223
42.51316452,-73.19573975,1224
42.56340027,-73.15333557,1225
42.48111725,-73.1350708,1226
42.27633667,-73.33589935,1229
42.17319489,-73.32428741,1230
42.42567825,-73.06302643,1235
42.26649475,-73.37839508,1236
42.54781723,-73.26803589,1237
42.29750061,-73.23014832,1238
42.36785889,-73.26976013,1240
42.3337326,-73.24919891,1242
42.35012054,-73.02410889,1243
42.1180954,-73.25749969,1244
42.18689346,-73.22310638,1245
42.69852448,-73.08429718,1247
42.20668411,-73.11321259,1253
42.38201904,-73.36549377,1254
42.10749435,-73.11860657,1255
42.5941658,-73.02232361,1256
42.08524323,-73.36748505,1257
42.10927963,-73.462883,1258
42.07546997,-73.234375,1259
42.29569626,-73.34254456,1260
42.292202,-73.31920624,1262
42.23159027,-73.20243073,1264
42.31235504,-73.38804626,1266
42.6716156,-73.24697876,1267
42.51527023,-73.03116608,1270
42.62676239,-72.60153198,1301
42.51394653,-72.82151794,1330
42.56240845,-72.19107819,1331
42.68930817,-72.5822525,1337
42.57260513,-72.82430267,1338
42.60377502,-72.88964081,1339
42.69473267,-72.71095276,1340
42.4969368,-72.70941162,1341
42.54388809,-72.60945892,1342
42.65762329,-72.97893524,1343
42.61341858,-72.42642975,1344
42.69326782,-72.82311249,1346
42.55929565,-72.51875305,1347
42.56306076,-72.4821167,1349
42.72777176,-72.98534393,1350
42.53987885,-72.52169037,1351
42.62409973,-72.50860596,1354
42.4585495,-72.32719421,1355
42.67708969,-72.45387268,1360
42.60543823,-72.29207611,1364
42.47562027,-72.19246674,1366
42.69553375,-72.90914917,1367
42.6794548,-72.17693329,1368
42.59337616,-72.72692871,1370
42.47547913,-72.61540222,1373
42.46669006,-72.54675293,1375
42.59527969,-72.55500031,1376
42.67353439,-72.35321045,1378
42.55630875,-72.40715027,1379
42.58492661,-71.81686401,1420
42.65700531,-71.92343903,1430
42.67629242,-71.83251953,1431
