,zipcode,num_of_airbnb,num_of_beds,avg_price,total_reviews,avg_location_review_score,avg_review_score,num_of_bus,num_of_sub,num_of_crime,5_years_or_less,5-9_years,10-14_years,15-19_years,20-24_years,25-34_years,35-44_years,45-54_years,55-59_years,60-64_years,65-74_years,75-84_years,85_years_or_more,households,"$9,999_or_less","$10,000-$14,999","$15,000-$24,999","$25,000-$34,999","$35,000-$49,999","$50,000-$64,999","$65,000-$74,999","$75,000-$99,999","$100,000_or_more",median_household_income,mean_household_income
0,7093,1,3.0,288.0,77,9.0,9.0,,,,63455.0,4780.0,3174.0,2936.0,3172.0,4404.0,13180.0,10337.0,8115.0,3068.0,2880.0,3618.0,2671.0,1120.0,23547.0,10.3,5.8,13.1,8.7,13.9,18.2,10.4,42.5,47611,68956
1,10001,513,466.0,250.08576998050683,11336,9.75414364640884,8.950276243093922,17.0,5.0,87.0,23537.0,562.0,1089.0,900.0,1053.0,2785.0,4970.0,3905.0,2795.0,1650.0,1046.0,1551.0,998.0,233.0,11639.0,8.6,4.1,9.3,5.1,9.2,8.5,9.8,27.5,86801,158183
2,10002,1213,1377.0,185.37922506183017,33405,9.690816326530612,9.318367346938775,33.0,6.0,77.0,80736.0,3079.0,3171.0,3638.0,3922.0,5338.0,13938.0,12055.0,11182.0,4666.0,5334.0,6766.0,5166.0,2481.0,33348.0,15.5,12.6,14,8.8,10,14.2,7.1,31.3,33726,61946
3,10003,1032,1156.0,238.92151162790697,22102,9.908616187989557,9.352480417754569,18.0,6.0,85.0,57112.0,1545.0,911.0,764.0,7308.0,5714.0,15565.0,7843.0,5718.0,2962.0,2904.0,3352.0,1714.0,812.0,27487.0,6.1,1.9,7,4.9,6.4,13,11.3,30.7,98151,161692
4,10004,68,62.0,201.4264705882353,853,9.925,9.45,3.0,3.0,8.0,3221.0,126.0,101.0,161.0,227.0,255.0,857.0,572.0,387.0,166.0,195.0,163.0,11.0,0.0,1574.0,2.2,0.3,1.7,6.5,5.1,7.1,14.8,27,119691,177262
5,10005,379,424.0,262.8548812664908,3652,9.888501742160278,9.529616724738675,2.0,2.0,6.0,8131.0,299.0,250.0,140.0,85.0,1101.0,3690.0,1696.0,631.0,111.0,39.0,89.0,0.0,0.0,4252.0,7.9,0.8,4.5,1.9,1.4,9,9.9,20.3,124194,176424
6,10006,69,52.0,195.05797101449275,788,9.921052631578947,9.236842105263158,1.0,4.0,5.0,3110.0,267.0,47.0,25.0,24.0,354.0,1455.0,557.0,234.0,109.0,38.0,0.0,0.0,0.0,1745.0,6.9,5.2,0,0.7,3.2,15.7,6.6,25.5,123691,162688
7,10007,67,70.0,433.8059701492537,279,9.777777777777779,8.925925925925926,3.0,7.0,18.0,6876.0,342.0,483.0,229.0,287.0,241.0,1777.0,1628.0,940.0,283.0,416.0,136.0,113.0,1.0,2781.0,2.9,1.4,0.6,0.7,3.8,5.9,5.3,15,"250,000+",441278
8,10009,1094,1211.0,172.39762340036563,27653,9.734304932735427,9.315022421524663,34.0,1.0,39.0,60865.0,1491.0,1838.0,1604.0,2220.0,6338.0,15577.0,7390.0,8248.0,3713.0,3706.0,5409.0,2411.0,920.0,29770.0,12.7,7.7,9.6,7.2,8.4,12.3,11.2,31.9,59090,85207
9,10010,327,345.0,253.88073394495413,5784,9.748936170212765,9.302127659574468,27.0,3.0,31.0,31447.0,1014.0,611.0,588.0,1411.0,4081.0,8332.0,4648.0,3936.0,1994.0,1123.0,2040.0,1154.0,515.0,16050.0,7.8,3.9,4.9,4,5.5,13.2,9.4,28.1,101718,154979
