,Unnamed: 0,zipcode,num_of_airbnb,num_of_beds,avg_price,total_reviews,avg_location_review_score,avg_review_score,num_of_bus,num_of_sub,num_of_crime,5_years_or_less,5-9_years,10-14_years,15-19_years,20-24_years,25-34_years,35-44_years,45-54_years,55-59_years,60-64_years,65-74_years,75-84_years,85_years_or_more,households,"$9,999_or_less","$10,000-$14,999","$15,000-$24,999","$25,000-$34,999","$35,000-$49,999","$50,000-$64,999","$65,000-$74,999","$75,000-$99,999","$100,000_or_more",median_household_income,mean_household_income,C-distance_bc,C-distance_ch
0,0,2026,1,1.0,50.0,1,4.0,8.0,31.0,,,25224,1604,1250,1317,1540,1279,3186,3265,3936,1657,1391,2008,1758,1033,9579,3.4,3.6,6.9,5.8,10.0,15.7,13.3,39.0,83438,109399,15.24,15.903
1,1,2108,111,154.0,256.27927927927925,6217,9.90566037735849,9.235849056603774,24.0,6.0,171.0,4183,276,70,136,328,205,1072,627,489,238,89,501,135,17,2114,7.4,1.2,3.6,4.5,8.4,6.8,12.9,28.1,103973,176335,0.312,0.848
2,2,2109,88,121.0,240.13636363636363,4185,9.985074626865671,9.17910447761194,13.0,1.0,85.0,3947,134,46,46,36,295,1600,365,481,123,198,309,156,158,2001,3.3,6.5,3.8,3.6,7.8,9.8,8.9,26.5,111313,166627,1.825,1.255
3,3,2110,39,37.0,249.0,1184,9.514285714285714,9.028571428571428,23.0,,77.0,2048,0,48,37,10,135,384,197,215,278,126,416,190,12,1293,0.9,1.2,7.0,6.2,7.7,12.1,8.9,28.7,128210,240767,1.652,0.859
4,4,2111,213,234.0,255.18779342723005,5426,9.641618497109826,8.936416184971097,8.0,6.0,149.0,7537,496,218,32,671,849,1769,755,895,538,451,434,236,193,3108,17.9,6.5,10.7,6.7,6.8,12.9,6.2,25.9,51480,121824,0.732,0.723
5,5,2113,146,227.0,203.08219178082192,12971,9.992366412213741,9.244274809160306,,,53.0,7221,131,46,68,7,997,3404,867,477,241,132,386,334,131,4319,6.4,3.0,6.4,6.4,8.7,18.0,15.7,42.4,76503,95214,1.43,1.016
6,6,2114,386,486.0,254.15803108808294,12855,9.897959183673471,9.214285714285714,15.0,4.0,151.0,12882,612,133,229,222,1662,4992,1577,1085,475,547,743,462,143,7000,8.1,5.5,6.4,4.4,7.2,12.2,12.2,31.6,86240,125786,0.943,1.377
7,7,2115,287,411.0,239.53310104529618,6967,9.674641148325357,8.995215311004785,57.0,7.0,208.0,28536,458,539,158,7336,8842,4748,1478,1301,799,736,807,1037,297,9535,24.8,10.1,10.2,6.6,9.8,12.6,5.7,28.1,31737,63944,3.85,4.691
8,8,2116,506,469.0,224.87549407114625,17006,9.777215189873418,8.89873417721519,38.0,4.0,332.0,22433,759,478,343,2167,1905,6104,2667,2136,1296,1316,1942,847,473,11460,9.7,5.7,6.9,4.9,4.9,13.2,7.8,25.9,93059,159561,1.015,1.882
9,9,2118,305,357.0,230.27213114754102,13121,9.68359375,9.1875,89.0,15.0,464.0,27526,1546,886,994,1183,2632,7351,3919,3786,1380,1158,1480,829,382,12500,15.0,6.7,9.8,5.2,7.2,9.8,7.7,24.7,62300,113305,1.978,2.439
10,10,2119,259,366.0,134.8030888030888,10938,8.927601809954751,9.361990950226243,112.0,3.0,633.0,26259,1747,1526,1359,1983,2556,4187,3210,3920,1466,1235,1720,1029,321,10693,19.5,10.7,15.7,10.4,12.7,12.5,7.2,32.4,28885,45181,3.796,4.355
11,11,2120,101,140.0,186.84158415841583,3280,9.43661971830986,9.056338028169014,42.0,4.0,154.0,15500,659,582,604,2131,4893,2607,1100,1088,365,464,555,312,140,4741,20.5,10.5,11.5,10.9,12.0,13.6,7.5,33.1,30487,50771,3.6,4.354
12,12,2121,98,133.0,78.01020408163265,2268,8.79746835443038,9.405063291139241,83.0,,461.0,28051,1816,2449,1890,2327,2494,4515,3132,3629,1722,1254,1695,659,469,10329,22.4,13.3,12.6,10.6,10.5,13.9,6.9,31.3,26150,42605,5.67,6.113
13,13,2122,118,192.0,104.55084745762713,5429,8.926605504587156,9.412844036697248,84.0,1.0,350.0,24880,1304,1470,1674,1698,1886,4635,3578,3485,1604,1252,1207,720,367,8409,11.1,5.9,10.5,6.9,12.0,16.6,12.5,41.1,52122,69723,7.329,7.279
14,14,2124,172,219.0,81.68023255813954,6298,9.122580645161289,9.329032258064515,172.0,4.0,730.0,53227,3601,3462,3534,3655,3758,8884,7448,7328,3218,2625,3723,1289,702,18593,10.9,9.1,10.7,8.6,12.0,17.6,9.3,38.9,48350,67245,7.705,7.934
15,15,2125,268,378.0,122.96641791044777,14033,9.258333333333333,9.304166666666667,91.0,1.0,456.0,35379,2582,1846,1737,2202,3696,7773,4858,4104,2027,1628,1745,868,313,12427,14.5,7.6,9.6,7.1,12.8,17.4,10.3,40.5,48123,63939,4.449,4.506
16,16,2126,65,84.0,81.73846153846154,2167,9.0,9.345454545454547,75.0,1.0,387.0,27835,1444,1676,1764,1841,1858,4247,3819,3801,1951,1841,2232,1123,238,9660,9.2,8.4,13.7,7.7,15.1,18.2,12.4,45.7,45958,55382,9.355,9.765
17,17,2127,282,422.0,217.1418439716312,12156,9.676470588235292,9.428571428571429,127.0,3.0,295.0,36494,1504,1211,1422,1281,2563,13640,4505,3807,1693,1581,1613,1096,578,16332,8.1,7.6,7.3,6.3,7.2,12.8,10.2,30.2,77633,100203,3.114,2.688
18,18,2128,319,416.0,124.47335423197492,22360,9.539518900343642,9.292096219931274,117.0,11.0,336.0,44989,3150,2628,2113,2124,3517,9844,7805,6112,2181,1564,2167,1172,612,15820,9.6,5.4,10.6,10.1,13.2,18.7,11.5,43.4,51097,65576,4.86,3.963
19,19,2129,135,217.0,238.1259259259259,5002,9.716814159292037,9.530973451327434,67.0,3.0,133.0,18058,1595,964,811,445,754,5000,2916,1858,953,1053,1079,442,188,8457,8.0,8.3,8.3,4.1,6.8,8.5,9.3,24.6,87381,125584,2.763,2.666
20,20,2130,400,631.0,253.005,17318,9.670454545454543,9.565340909090908,112.0,6.0,365.0,39257,2130,1523,1426,1760,3052,10404,5571,4707,2200,1998,2478,1154,854,16070,8.0,6.0,6.2,5.5,8.5,13.4,14.5,36.4,77480,98992,6.457,7.134
21,21,2131,124,170.0,98.20967741935483,5323,9.382608695652172,9.68695652173913,127.0,,233.0,31890,2494,1802,1540,1503,1851,5423,5335,4407,1899,2004,1983,1074,575,12092,7.8,6.2,7.6,6.8,12.5,15.8,12.7,41.0,64178,84496,9.306,9.917
22,22,2132,72,115.0,107.48611111111113,2755,9.548387096774192,9.483870967741936,187.0,,148.0,28506,2076,1355,1587,1268,846,3558,4097,4722,2156,1785,2459,1480,1117,11270,3.9,3.2,8.4,4.4,9.2,13.1,13.6,35.9,87983,106305,11.47,12.192
23,23,2134,267,344.0,129.4868913857678,7394,9.578260869565216,9.178260869565216,53.0,2.0,245.0,18238,540,264,374,611,4880,6712,1617,1039,552,465,557,493,134,7826,13.8,9.7,9.8,9.8,13.0,13.9,10.8,37.7,44000,60776,5.188,6.068
24,24,2135,327,433.0,119.9571865443425,10354,9.539682539682538,9.365079365079367,115.0,8.0,275.0,38682,1687,876,720,1000,7104,12995,3528,2714,1497,1622,2349,1758,832,18029,14.8,8.0,8.6,7.8,10.3,17.9,10.0,38.2,50752,66008,7.285,8.181
25,25,2136,55,73.0,90.32727272727271,1563,9.18,9.5,171.0,,304.0,31052,1808,1935,2339,1920,2327,4170,4368,4465,2010,1710,1967,1328,705,11048,7.3,6.0,7.7,9.7,12.4,18.1,13.6,44.1,61391,74050,12.281,12.802
